,rmse,mae,mape,msle,mse
gossip aggregated,32.22753602677581,25.257693152831468,729632439557114.1,0.3345514832749206,1231.657572992412
single aggregated,31.738751188094334,25.166850863067484,631304588584762.9,0.3181041445603149,1187.1543953321705
centralized aggregated,32.501908076222755,25.276375472216692,724646671927964.1,0.33392010731922406,1231.7191098746614
gossip 0,25.423718811297622,19.837591905348877,479568549446443.1,0.3195373645039939,646.3654781959286
gossip 1,35.548005180648246,27.967057021201846,321731954455802.9,0.2574368098759631,1263.6606723233947
gossip 2,20.152057700431083,16.164990074400897,1735587847624749.2,0.48570468347035856,406.1054295615037
gossip 3,30.029127290532422,23.810852394684737,413988567120673.4,0.2725209234009495,901.748485830999
gossip 4,67.53205852115663,50.65565135748924,0.32672726203604496,0.13282984599680595,4560.578928104924
gossip 5,18.77837054285554,14.92667840300686,263555167618583.4,0.2630863687916599,352.6272002447847
gossip 6,43.4973286226305,34.93649305240184,70621334024063.92,0.249813217590491,1892.0175973051105
gossip 7,20.359483020915864,16.13492488815714,2554434022380880.5,0.6353502998173562,414.5085488789614
gossip 8,27.222260359331113,21.87020385163268,919270805839381.6,0.446565649495326,741.05145907121
gossip 9,33.73295021795908,26.272488579990522,537566147060562.06,0.28266966980630204,1137.9119304073054
single 0,25.476573832241474,20.194858842073,419602720748997.56,0.30359233540802505,649.0558142296511
single 1,35.10076216134856,28.32298685730808,266161967574070.06,0.24469589443168507,1232.0635043075588
single 2,19.922290486927828,16.327515720527135,1792858349367152.2,0.48565970530165115,396.897658245535
single 3,29.65091556824256,23.660715052788877,533258676955387.94,0.2792237176803638,879.1767940350489
single 4,66.00936131966351,51.1165383944162,0.3408651743762056,0.13272457159920373,4357.23578182989
single 5,18.904588747557547,14.662124304063653,261042452374852.94,0.2563565757630362,357.38347571427937
single 6,41.996865677073366,33.81315524775454,60662759677539.37,0.22650839052892258,1763.736726698143
single 7,20.187860279947866,15.96445600137639,1728067878498581.2,0.563150663867857,407.54970268269676
single 8,26.896032935499534,21.664087970635645,818249051705395.4,0.4281549981944274,723.3965876674757
single 9,33.24226087244107,25.942070239731294,433142028945651.94,0.26097459282797686,1105.0479079114266
centralized 0,26.080833787900367,20.33008785405463,428897714475183.9,0.31216543321031515,680.2098910720854
centralized 1,35.35484066938153,28.001957453284007,215927298587051.2,0.23048921431524755,1249.9647587573545
centralized 2,21.05942167342549,16.5276286536234,1852716744627178.0,0.506818577128037,443.4992412191433
centralized 3,29.704897836007937,23.149700504161423,443003580348749.6,0.2654647958409576,882.380955447669
centralized 4,66.264451454164,49.93621127566874,0.31411665089680946,0.1301068651338473,4390.977526521258
centralized 5,19.990198035422214,15.704690035584992,262762490742903.44,0.288421693570961,399.6080174953981
centralized 6,43.56934339591791,34.54453773298908,51971208856441.04,0.22620571718140184,1898.2876839514158
centralized 7,21.38196752375123,16.534455526510268,2589584102159471.0,0.6627757892223024,457.1885351867523
centralized 8,27.892303634414553,21.96464004934004,899410458190986.1,0.4496311263058236,777.9806020343752
centralized 9,33.72082275184225,26.069845636950348,502193121291676.6,0.26712186128334725,1137.093887061162
