,rmse,mae,mape,msle,mse
gossip aggregated,31.890421923299108,25.414306494726894,638840339378746.2,0.3133045505751534,1207.0205715321902
single aggregated,31.738751188094334,25.166850863067484,631304588584762.9,0.3181041445603149,1187.1543953321705
centralized aggregated,32.501908076222755,25.276375472216692,724646671927964.1,0.33392010731922406,1231.7191098746614
gossip 0,25.23759371303815,19.82535337607822,427212035845501.44,0.2928651858124063,636.9361364243828
gossip 1,35.175383333870904,28.48697853632817,273922965304835.9,0.24158080776711746,1237.3075926847628
gossip 2,19.801583721268976,16.144877499563144,1570168943523690.5,0.44970893534660744,392.1027178704245
gossip 3,29.75640278251056,23.7764185266649,360971123029071.44,0.2514404098678874,885.443506555002
gossip 4,66.94971125811847,53.04396210116052,0.35633202782810525,0.13561748917180466,4482.263837545435
gossip 5,18.725452616596918,14.91805218878981,226047671830008.22,0.2453393169572181,350.64257569641643
gossip 6,42.957236517835476,34.25942951514537,73297740238306.77,0.2370490881169124,1845.3241692492575
gossip 7,19.940672606507526,15.822037505717871,2105642153736058.0,0.5732752415709972,397.6304239999196
gossip 8,26.94907536216582,21.76164227026514,901775401631760.4,0.43886743153268787,726.252662875693
gossip 9,33.411107321078255,26.104313427555798,449365358648229.9,0.2673015996078953,1116.302092420609
single 0,25.476573832241474,20.194858842073,419602720748997.56,0.30359233540802505,649.0558142296511
single 1,35.10076216134856,28.32298685730808,266161967574070.06,0.24469589443168507,1232.0635043075588
single 2,19.922290486927828,16.327515720527135,1792858349367152.2,0.48565970530165115,396.897658245535
single 3,29.65091556824256,23.660715052788877,533258676955387.94,0.2792237176803638,879.1767940350489
single 4,66.00936131966351,51.1165383944162,0.3408651743762056,0.13272457159920373,4357.23578182989
single 5,18.904588747557547,14.662124304063653,261042452374852.94,0.2563565757630362,357.38347571427937
single 6,41.996865677073366,33.81315524775454,60662759677539.37,0.22650839052892258,1763.736726698143
single 7,20.187860279947866,15.96445600137639,1728067878498581.2,0.563150663867857,407.54970268269676
single 8,26.896032935499534,21.664087970635645,818249051705395.4,0.4281549981944274,723.3965876674757
single 9,33.24226087244107,25.942070239731294,433142028945651.94,0.26097459282797686,1105.0479079114266
centralized 0,26.080833787900367,20.33008785405463,428897714475183.9,0.31216543321031515,680.2098910720854
centralized 1,35.35484066938153,28.001957453284007,215927298587051.2,0.23048921431524755,1249.9647587573545
centralized 2,21.05942167342549,16.5276286536234,1852716744627178.0,0.506818577128037,443.4992412191433
centralized 3,29.704897836007937,23.149700504161423,443003580348749.6,0.2654647958409576,882.380955447669
centralized 4,66.264451454164,49.93621127566874,0.31411665089680946,0.1301068651338473,4390.977526521258
centralized 5,19.990198035422214,15.704690035584992,262762490742903.44,0.288421693570961,399.6080174953981
centralized 6,43.56934339591791,34.54453773298908,51971208856441.04,0.22620571718140184,1898.2876839514158
centralized 7,21.38196752375123,16.534455526510268,2589584102159471.0,0.6627757892223024,457.1885351867523
centralized 8,27.892303634414553,21.96464004934004,899410458190986.1,0.4496311263058236,777.9806020343752
centralized 9,33.72082275184225,26.069845636950348,502193121291676.6,0.26712186128334725,1137.093887061162
