,mse_mean,mse_var,mse_std,mse_50q,mse_90q
Gossip,5139.578676735167,,5682.396130502217,2491.4641620472953,14642.38509935439
Single,7543.945536215161,,9852.072322029175,3277.7780826558674,23423.332720989652
Centralized,1324.3711122971501,,701.9193510313539,1216.2716070224392,2360.7188007788
