,rmse,mae,mape,msle,mse
gossip aggregated,31.68029815359146,25.008022410888316,1207452813440444.0,0.4035844276885797,1408.3223177008374
single aggregated,31.37508807911096,24.493697199645098,1105412720044792.0,0.39147872860972394,1383.5614549514185
centralized aggregated,32.37304384521819,25.227711792161188,1224874083233077.5,0.4269464674466975,1442.0734054477982
gossip 0,8.08607201053713,6.580657095454286,805972921076891.8,0.45442883196724076,65.38456055959197
gossip 1,30.27118253956442,23.458336388690487,810396028885629.6,0.28372095658834967,916.3444923436299
gossip 2,10.471047586695533,8.533621526184136,2192584951437747.0,0.6552783599326376,109.64283756284237
gossip 3,58.57198805715528,44.923246145021565,252355400848704.94,0.20637360505253807,3430.6777849675404
gossip 4,35.04947155568249,28.218589101259646,451965640551540.6,0.35225972543258016,1228.4654563325957
gossip 5,29.544515817027165,23.595317383701747,551159211819819.1,0.30656344695823934,872.8784148625683
gossip 6,29.88090358044269,23.311190514877566,937236864496033.5,0.3172809517619248,892.8683987837128
gossip 7,24.121027282818982,19.126979461746142,1500529548951770.8,0.4428179053034894,581.8239571784976
gossip 8,14.889436845886559,12.099699541458508,4572327566336304.0,0.903499956804015,221.6953295876443
gossip 9,75.91733626010432,60.23258695048905,0.2851792170139056,0.11362053708478302,5763.441944829749
single 0,7.949571845204162,6.458273533068874,728640034033855.9,0.4313823403698095,63.195692522062714
single 1,30.19056762368253,23.300893721639486,658537221276786.5,0.2649606541340711,911.4703734401478
single 2,9.840978793281936,7.68002130455567,1767237823544331.2,0.5758546014929778,96.84486360982478
single 3,57.35973740513461,43.45386438841597,265223163733051.84,0.2006124934209761,3290.1394751859984
single 4,34.562390547325535,27.832061674229653,418118650172659.25,0.3479378441949933,1194.5588403458573
single 5,29.84612494877316,23.66916501714886,431841548810090.5,0.31994988041178923,890.7911744577796
single 6,30.065944436014405,23.4414768572879,838583008380704.4,0.3272567332417793,903.9610148295056
single 7,23.724280067119764,18.987362291787942,1381746390739803.8,0.4217404813529293,562.8414647031361
single 8,14.669039035395574,12.08030341226753,4564199359756637.0,0.9061326654894096,215.1807062219591
single 9,75.5422460891779,58.03354979604908,0.2942124594693709,0.1189595919885036,5706.630944197912
centralized 0,8.972637656227725,7.180921806651677,1002706194457597.9,0.5453994715077976,80.50822650995578
centralized 1,30.56844744309456,23.657920891505892,664486125922992.4,0.27555297628172226,934.4299790812343
centralized 2,10.840929229393089,8.942697824181884,2354263751737236.0,0.7206800814637161,117.52574655670944
centralized 3,58.433665067854314,43.74202765202545,170333850539219.84,0.2035943046611029,3414.4932132621775
centralized 4,35.99940767099296,28.359719773341542,347196717476512.94,0.3489198788969964,1295.9573526623465
centralized 5,30.816354257339356,24.25584902341427,600852835480858.1,0.3322964405606074,949.6476897138375
centralized 6,30.59480748840672,23.693673855457615,885047770845297.5,0.3142135101768983,936.042245252668
centralized 7,25.774001657980133,19.89662616809814,1528443331134859.0,0.4634825295191183,664.2991614655626
centralized 8,15.693776928802567,12.574199496395353,4695410254736204.0,0.9517121601324227,246.2946342910157
centralized 9,76.03641105209053,59.973481430540076,0.2710271410133552,0.11361332126659325,5781.535805682475
