,mse_mean,mse_var,mse_std,mse_50q,mse_90q
Gossip,4272.784363060597,,6097.848151372543,2011.070687508779,9546.439309381982
Single,7543.945536215161,,9852.072322029175,3277.7780826558674,23423.332720989652
Centralized,1324.3711122971501,,701.9193510313539,1216.2716070224392,2360.7188007788
