,mse_mean,mse_var,mse_std,mse_50q,mse_90q
Gossip,1326.3973820277454,,1454.335910535029,866.5676404420253,3292.510254540499
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.7305796695446
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492
