,rmse,mae,mape,msle,mse
gossip aggregated,61.30343704556866,42.867460690590455,927859819935298.6,0.5303359943891282,4454.171731111115
single aggregated,67.68012548956467,47.670747258342374,1000642693374819.2,0.6377380060316353,5369.191093659505
centralized aggregated,33.67923344259649,24.580204936269347,589140156361547.2,0.31289308579246833,1161.9194204462462
gossip 0,76.93697632445644,56.38244881359237,211974240247213.6,0.4797596753391746,5919.29832594997
gossip 1,118.68159171048205,75.57064814798952,268720091914627.75,0.5990026459878471,14085.320210933562
gossip 2,60.88747304341964,46.753418921365686,1186760301762813.5,0.501017535506718,3707.2843736131535
gossip 3,70.29000261761587,47.51897160560034,1463607295241919.8,0.4615462217144822,4940.684467984445
gossip 4,30.9457905006777,23.724670622789628,899684084250500.9,0.5305894506661116,957.6419497118342
gossip 5,65.72416828922316,45.968123645885306,234859594115604.53,0.45024221320170055,4319.6662973101265
gossip 6,82.32733654732245,49.05831296524092,1190368786117919.2,0.5355694185066254,6777.7903429760945
gossip 7,35.59586832578314,28.29172244496925,466774754535182.7,0.48778492673064205,1267.065841866491
gossip 8,35.34781677046124,28.364534645053343,2846827198777884.5,0.7643344326027087,1249.4681504381012
gossip 9,36.297346326245005,27.04175509341815,509021852389318.5,0.4935134236352713,1317.4973503273716
single 0,86.7565868257143,63.630235365830906,229343672709875.38,0.6423842422149699,7526.705357647703
single 1,128.34672878405374,82.70622985369812,279770128060436.12,0.7684088019799373,16472.882789567448
single 2,63.05469166816784,47.83355584177769,1048357286827339.8,0.4914063421663225,3975.894141367715
single 3,70.79872482274568,48.82738351474064,1541114923465292.2,0.5020644383598161,5012.459436526865
single 4,36.10895049157889,28.864418152132526,1111498342074129.6,0.6700360261166752,1303.8563056032951
single 5,68.2575880607601,47.876402693856456,220521101888568.78,0.4841549542161032,4659.09832787242
single 6,96.82919772809403,57.26058167034847,1172559200387114.0,0.6769208410903846,9375.89353266633
single 7,41.20624924843872,32.62868897430185,471732365949771.56,0.5780784661308707,1697.9549771244567
single 8,45.63266700710376,36.63053725550676,3391781144472007.0,0.9501511502387575,2082.3402981812164
single 9,39.80987025898963,30.44943926123033,539748767913655.8,0.6137747978025171,1584.8257700375873
centralized 0,33.691261094503275,25.285564939521283,270522272043033.12,0.2371240089413416,1135.1010741379898
centralized 1,40.404288211899754,29.075523827743652,241953684090725.9,0.24037741349102634,1632.5065059102617
centralized 2,38.99285861420391,29.073466731297415,752916237051168.5,0.32424086200326413,1520.443022907296
centralized 3,41.46041559521563,29.882865748403944,967578097184572.4,0.33442301313905415,1718.9660613279993
centralized 4,25.75956335575723,18.86647942464691,453167995055433.5,0.30987058990162314,663.5551042792706
centralized 5,31.328552086712996,23.31765595081304,214617646864174.7,0.26319825167545224,981.4781758498892
centralized 6,36.43809877026297,25.643638661805312,991891665514913.5,0.37768494417265525,1327.7350419914394
centralized 7,29.48025009147976,22.067686309596677,295260920645860.56,0.287157683918163,869.0851454561924
centralized 8,26.80691990760471,20.056245218448474,1358364002998535.5,0.44212218632911915,718.6109549327336
centralized 9,32.43012669832467,22.53292255041677,345129042167054.44,0.31273190435298387,1051.7131176693904
