method,mse_mean,mse_var,mse_std,mse_50q,mse_90q,rsd,type,idx,n_nodes,patience,min_delta,perc_sent_weights,target_probability,models_folder,n_input_features,n_output_vars,merge_strategy,batch_size,epochs_per_update,stop_criterion,fixed_updates,num_merged_models,shuffle_batch,finetuning_epochs,serialize_optimizer
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,83,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,3787.884205699133,,4364.839311049645,1717.0542059043296,8897.273599796337,1.1523159299543644,generalized,83,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,83,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,83,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,1362.8226719755694,,1529.8299693629551,888.6419069374657,3323.467788077728,1.1225451416546286,classical,94,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Single,1329.9837731693704,,1436.0007815246422,893.3699259799882,3349.309147307056,1.079713008905839,classical,94,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1367.1785136642409,,1449.607223191321,909.330316499242,3297.2730398400995,1.0602911095392795,classical,94,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,2681.050592103786,,4241.15232121528,1349.0459280311866,7037.825008067183,1.581899399327374,generalized,94,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Single,5231.003065575101,,10138.9828339666,1638.210778202525,13630.610873235268,1.938248306656634,generalized,94,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1226.682779748716,,991.5445495799252,953.784968913884,2261.178416560821,0.808313743332275,generalized,94,10,5,0.0,1.0,0.5,models/,9,1,overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,1341.2145555538614,,1487.579006197321,885.5648192978132,3322.867495631449,1.1091282897560095,classical,89,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,True
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,89,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,True
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,89,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,True
Gossip,4118.196662965932,,5803.120800266999,1828.423008395359,8598.7785605955,1.4091412516680497,generalized,89,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,True
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,89,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,True
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,89,10,5,0.0,1.0,0.5,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,True
Gossip,1333.6368000555583,,1480.1733323535498,896.2751341660486,3270.98477702812,1.109877391124695,classical,129,10,5,0.0,1.0,0.25,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,129,10,5,0.0,1.0,0.25,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,129,10,5,0.0,1.0,0.25,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,3974.959564246624,,5563.379191279362,1859.903090678194,10730.538542185695,1.399606486898639,generalized,129,10,5,0.0,1.0,0.25,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,129,10,5,0.0,1.0,0.25,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,129,10,5,0.0,1.0,0.25,models/,9,1,improved_overwrite,64,1,fixed_updates,100,1,True,0,False
Gossip,1292.3357444038695,,1425.4116161301322,850.8296604057339,3173.231748182041,1.1029731416951931,classical,101,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,5,fixed_updates,20,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,101,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,5,fixed_updates,20,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,101,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,5,fixed_updates,20,1,True,0,False
Gossip,5307.968158518704,,6798.722105699235,2593.37787235228,13559.42079778156,1.2808520892854331,generalized,101,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,5,fixed_updates,20,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,101,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,5,fixed_updates,20,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,101,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,5,fixed_updates,20,1,True,0,False
Gossip,1330.715628589491,,1477.055835877529,882.9218121828369,3242.5924513808764,1.1099710592887175,classical,182,10,5,1.0,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,182,10,5,1.0,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,182,10,5,1.0,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Gossip,6353.994539073084,,8287.440139774268,2779.090637175515,19005.86225034109,1.3042882062317973,generalized,182,10,5,1.0,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,182,10,5,1.0,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,182,10,5,1.0,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Gossip,1332.8975107527317,,1468.5768182198935,890.5258747233524,3279.067282188592,1.101792753285689,classical,180,10,5,0.1,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,180,10,5,0.1,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,180,10,5,0.1,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Gossip,6293.780350479552,,7912.619004224749,2611.699770231905,19058.959016888843,1.257212448416928,generalized,180,10,5,0.1,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,180,10,5,0.1,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,180,10,5,0.1,1.0,1.0,models/,9,1,age_weighted,64,4,no_improvements,30,1,True,0,False
Gossip,1269.5473561682866,,1389.4446535600302,845.8026546453557,3148.9184494231317,1.094440980723724,classical,163,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,5,fixed_updates,50,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,163,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,5,fixed_updates,50,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,163,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,5,fixed_updates,50,1,True,0,False
Gossip,4814.055980267218,,5212.481257733793,2724.222868067656,11866.998837268196,1.0827629090936457,generalized,163,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,5,fixed_updates,50,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,163,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,5,fixed_updates,50,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,163,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,5,fixed_updates,50,1,True,0,False
Gossip,1305.0480189184318,,1447.4261616628528,869.9447514876695,3202.1501784445736,1.1090980107095354,classical,97,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Single,1329.9837731693704,,1436.0007815246422,893.3699259799882,3349.309147307056,1.079713008905839,classical,97,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Centralized,1367.1785136642409,,1449.607223191321,909.330316499242,3297.2730398400995,1.0602911095392795,classical,97,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Gossip,2509.406829142364,,3305.015951554274,1393.21334798805,7723.836529518497,1.317050672363008,generalized,97,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Single,5231.003065575101,,10138.9828339666,1638.210778202525,13630.610873235268,1.938248306656634,generalized,97,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Centralized,1226.682779748716,,991.5445495799252,953.784968913884,2261.178416560821,0.808313743332275,generalized,97,10,5,0.0,1.0,0.5,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Gossip,2583.543856462716,,6049.290181474637,892.5573394746039,3930.629982150463,2.341469902414229,classical,165,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,20,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,165,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,20,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,165,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,20,1,True,0,False
Gossip,6231.778079475054,,7777.661749141506,2702.574347349835,19017.423592069925,1.2480646213570996,generalized,165,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,20,1,True,0,False
Single,7543.945536215161,,9852.072322029177,3277.778082655868,23423.33272098965,1.305957509201745,generalized,165,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,20,1,True,0,False
Centralized,1324.37111229715,,701.9193510313539,1216.2716070224392,2360.7188007788,0.5300020096435505,generalized,165,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,20,1,True,0,False
Gossip,1310.5103005193068,,1449.1237043307435,864.2490260385755,3254.1650784400867,1.105770556520242,classical,117,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.730579669545,1.833383626394433,classical,117,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088763,classical,117,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
Gossip,3276.4158702485315,,3402.631817861925,1984.803760721144,7715.776514919516,1.038522566307744,generalized,117,10,5,0.0,1.0,1.0,models/,9,1,age_weighted,64,1,fixed_updates,100,1,True,0,False
