,mse_mean,mse_var,mse_std,mse_50q,mse_90q
Gossip,1288.8770121532534,,1416.9952699720845,851.5056566157423,3188.2670718199847
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.7305796695446
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492
