,mse_mean,mse_var,mse_std,mse_50q,mse_90q
Gossip,1292.9517771129765,,1430.5490206125708,855.7032856218361,3137.43831137529
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.7305796695446
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492
