,mse_mean,mse_var,mse_std,mse_50q,mse_90q
Gossip,4925.822584435501,,5771.184900711477,2583.6209637383636,11942.204273035095
Single,7543.945536215161,,9852.072322029175,3277.7780826558674,23423.332720989652
Centralized,1324.3711122971501,,701.9193510313539,1216.2716070224392,2360.7188007788
